# E  sum  T1  T2  T3 ...
-10.0000   0.0245   0.0082   0.0082   0.0082
 -9.9750   0.0248   0.0083   0.0083   0.0083
 -9.9499   0.0251   0.0084   0.0084   0.0084
 -9.9249   0.0254   0.0085   0.0085   0.0085
 -9.8999   0.0257   0.0086   0.0086   0.0086
 -9.8749   0.0260   0.0087   0.0087   0.0087
 -9.8498   0.0264   0.0088   0.0088   0.0088
 -9.8248   0.0267   0.0089   0.0089   0.0089
 -9.7998   0.0270   0.0090   0.0090   0.0090
 -9.7748   0.0273   0.0091   0.0091   0.0091
 -9.7497   0.0277   0.0092   0.0092   0.0092
 -9.7247   0.0280   0.0093   0.0093   0.0093
 -9.6997   0.0284   0.0095   0.0095   0.0095
 -9.6747   0.0288   0.0096   0.0096   0.0096
 -9.6496   0.0291   0.0097   0.0097   0.0097
 -9.6246   0.0295   0.0098   0.0098   0.0098
 -9.5996   0.0299   0.0100   0.0100   0.0100
 -9.5746   0.0303   0.0101   0.0101   0.0101
 -9.5495   0.0307   0.0102   0.0102   0.0102
 -9.5245   0.0311   0.0104   0.0104   0.0104
 -9.4995   0.0315   0.0105   0.0105   0.0105
 -9.4745   0.0320   0.0107   0.0107   0.0107
 -9.4494   0.0324   0.0108   0.0108   0.0108
 -9.4244   0.0329   0.0110   0.0110   0.0110
 -9.3994   0.0333   0.0111   0.0111   0.0111
 -9.3744   0.0338   0.0113   0.0113   0.0113
 -9.3493   0.0343   0.0114   0.0114   0.0114
 -9.3243   0.0347   0.0116   0.0116   0.0116
 -9.2993   0.0352   0.0117   0.0117   0.0117
 -9.2743   0.0357   0.0119   0.0119   0.0119
 -9.2492   0.0363   0.0121   0.0121   0.0121
 -9.2242   0.0368   0.0123   0.0123   0.0123
 -9.1992   0.0373   0.0124   0.0124   0.0124
 -9.1742   0.0379   0.0126   0.0126   0.0126
 -9.1491   0.0385   0.0128   0.0128   0.0128
 -9.1241   0.0390   0.0130   0.0130   0.0130
 -9.0991   0.0396   0.0132   0.0132   0.0132
 -9.0741   0.0403   0.0134   0.0134   0.0134
 -9.0490   0.0409   0.0136   0.0136   0.0136
 -9.0240   0.0415   0.0138   0.0138   0.0138
 -8.9990   0.0422   0.0141   0.0141   0.0141
 -8.9740   0.0428   0.0143   0.0143   0.0143
 -8.9489   0.0435   0.0145   0.0145   0.0145
 -8.9239   0.0442   0.0147   0.0147   0.0147
 -8.8989   0.0449   0.0150   0.0150   0.0150
 -8.8739   0.0457   0.0152   0.0152   0.0152
 -8.8488   0.0464   0.0155   0.0155   0.0155
 -8.8238   0.0472   0.0157   0.0157   0.0157
 -8.7988   0.0480   0.0160   0.0160   0.0160
 -8.7738   0.0488   0.0163   0.0163   0.0163
 -8.7487   0.0497   0.0166   0.0166   0.0166
 -8.7237   0.0505   0.0168   0.0168   0.0168
 -8.6987   0.0514   0.0171   0.0171   0.0171
 -8.6737   0.0523   0.0174   0.0174   0.0174
 -8.6486   0.0533   0.0178   0.0178   0.0178
 -8.6236   0.0542   0.0181   0.0181   0.0181
 -8.5986   0.0552   0.0184   0.0184   0.0184
 -8.5736   0.0562   0.0187   0.0187   0.0187
 -8.5485   0.0573   0.0191   0.0191   0.0191
 -8.5235   0.0583   0.0194   0.0194   0.0194
 -8.4985   0.0594   0.0198   0.0198   0.0198
 -8.4735   0.0606   0.0202   0.0202   0.0202
 -8.4484   0.0618   0.0206   0.0206   0.0206
 -8.4234   0.0630   0.0210   0.0210   0.0210
 -8.3984   0.0642   0.0214   0.0214   0.0214
 -8.3734   0.0655   0.0218   0.0218   0.0218
 -8.3483   0.0668   0.0223   0.0223   0.0223
 -8.3233   0.0682   0.0227   0.0227   0.0227
 -8.2983   0.0696   0.0232   0.0232   0.0232
 -8.2733   0.0710   0.0237   0.0237   0.0237
 -8.2482   0.0725   0.0242   0.0242   0.0242
 -8.2232   0.0740   0.0247   0.0247   0.0247
 -8.1982   0.0756   0.0252   0.0252   0.0252
 -8.1732   0.0773   0.0258   0.0258   0.0258
 -8.1481   0.0790   0.0263   0.0263   0.0263
 -8.1231   0.0808   0.0269   0.0269   0.0269
 -8.0981   0.0826   0.0275   0.0275   0.0275
 -8.0731   0.0845   0.0282   0.0282   0.0282
 -8.0480   0.0864   0.0288   0.0288   0.0288
 -8.0230   0.0884   0.0295   0.0295   0.0295
 -7.9980   0.0905   0.0302   0.0302   0.0302
 -7.9730   0.0927   0.0309   0.0309   0.0309
 -7.9479   0.0949   0.0316   0.0316   0.0316
 -7.9229   0.0973   0.0324   0.0324   0.0324
 -7.8979   0.0997   0.0332   0.0332   0.0332
 -7.8729   0.1022   0.0341   0.0341   0.0341
 -7.8478   0.1048   0.0349   0.0349   0.0350
 -7.8228   0.1076   0.0359   0.0359   0.0359
 -7.7978   0.1104   0.0368   0.0368   0.0368
 -7.7728   0.1134   0.0378   0.0378   0.0378
 -7.7477   0.1164   0.0388   0.0388   0.0388
 -7.7227   0.1196   0.0399   0.0399   0.0399
 -7.6977   0.1230   0.0410   0.0410   0.0410
 -7.6727   0.1264   0.0421   0.0421   0.0421
 -7.6476   0.1301   0.0434   0.0434   0.0434
 -7.6226   0.1339   0.0446   0.0446   0.0446
 -7.5976   0.1378   0.0459   0.0459   0.0459
 -7.5726   0.1420   0.0473   0.0473   0.0473
 -7.5475   0.1463   0.0488   0.0488   0.0488
 -7.5225   0.1509   0.0503   0.0503   0.0503
 -7.4975   0.1557   0.0519   0.0519   0.0519
 -7.4725   0.1607   0.0536   0.0536   0.0536
 -7.4474   0.1659   0.0553   0.0553   0.0553
 -7.4224   0.1715   0.0572   0.0572   0.0572
 -7.3974   0.1773   0.0591   0.0591   0.0591
 -7.3724   0.1834   0.0611   0.0611   0.0611
 -7.3473   0.1898   0.0633   0.0633   0.0633
 -7.3223   0.1966   0.0655   0.0655   0.0656
 -7.2973   0.2038   0.0679   0.0679   0.0679
 -7.2723   0.2114   0.0705   0.0705   0.0705
 -7.2472   0.2194   0.0731   0.0731   0.0732
 -7.2222   0.2279   0.0760   0.0760   0.0760
 -7.1972   0.2369   0.0790   0.0790   0.0790
 -7.1722   0.2465   0.0822   0.0822   0.0822
 -7.1471   0.2567   0.0856   0.0856   0.0856
 -7.1221   0.2675   0.0892   0.0892   0.0892
 -7.0971   0.2790   0.0930   0.0930   0.0930
 -7.0721   0.2913   0.0971   0.0971   0.0971
 -7.0470   0.3045   0.1015   0.1015   0.1015
 -7.0220   0.3186   0.1062   0.1062   0.1062
 -6.9970   0.3337   0.1112   0.1112   0.1112
 -6.9720   0.3499   0.1166   0.1166   0.1167
 -6.9469   0.3673   0.1224   0.1224   0.1225
 -6.9219   0.3860   0.1287   0.1287   0.1287
 -6.8969   0.4063   0.1354   0.1354   0.1355
 -6.8719   0.4282   0.1427   0.1427   0.1428
 -6.8468   0.4520   0.1506   0.1506   0.1507
 -6.8218   0.4778   0.1592   0.1592   0.1593
 -6.7968   0.5058   0.1686   0.1686   0.1687
 -6.7718   0.5365   0.1788   0.1788   0.1789
 -6.7467   0.5700   0.1899   0.1899   0.1901
 -6.7217   0.6067   0.2022   0.2022   0.2024
 -6.6967   0.6471   0.2156   0.2156   0.2159
 -6.6717   0.6917   0.2305   0.2305   0.2308
 -6.6466   0.7410   0.2469   0.2469   0.2472
 -6.6216   0.7957   0.2651   0.2651   0.2655
 -6.5966   0.8565   0.2853   0.2853   0.2859
 -6.5716   0.9245   0.3079   0.3079   0.3086
 -6.5465   1.0007   0.3333   0.3333   0.3341
 -6.5215   1.0863   0.3618   0.3618   0.3627
 -6.4965   1.1831   0.3940   0.3940   0.3951
 -6.4715   1.2928   0.4305   0.4305   0.4319
 -6.4464   1.4176   0.4720   0.4720   0.4736
 -6.4214   1.5602   0.5194   0.5194   0.5214
 -6.3964   1.7236   0.5737   0.5737   0.5762
 -6.3714   1.9116   0.6362   0.6362   0.6392
 -6.3463   2.1285   0.7083   0.7083   0.7119
 -6.3213   2.3793   0.7917   0.7917   0.7959
 -6.2963   2.6694   0.8882   0.8882   0.8931
 -6.2713   3.0046   0.9997   0.9997   1.0053
 -6.2462   3.3904   1.1281   1.1281   1.1342
 -6.2212   3.8307   1.2749   1.2749   1.2810
 -6.1962   4.3260   1.4403   1.4403   1.4455
 -6.1712   4.8705   1.6227   1.6227   1.6252
 -6.1461   5.4479   1.8169   1.8169   1.8142
 -6.1211   6.0277   2.0131   2.0131   2.0016
 -6.0961   6.5637   2.1961   2.1961   2.1715
 -6.0711   6.9973   2.3463   2.3463   2.3048
 -6.0460   7.2701   2.4433   2.4433   2.3835
 -6.0210   7.3408   2.4723   2.4723   2.3962
 -5.9960   7.2003   2.4288   2.4288   2.3427
 -5.9710   6.8761   2.3212   2.3212   2.2337
 -5.9459   6.4212   2.1670   2.1670   2.0873
 -5.9209   5.8968   1.9869   1.9869   1.9230
 -5.8959   5.3568   1.7996   1.7996   1.7575
 -5.8709   4.8404   1.6189   1.6189   1.6025
 -5.8458   4.3712   1.4531   1.4531   1.4650
 -5.8208   3.9604   1.3061   1.3061   1.3482
 -5.7958   3.6111   1.1792   1.1792   1.2527
 -5.7708   3.3211   1.0717   1.0717   1.1777
 -5.7457   3.0858   0.9825   0.9825   1.1209
 -5.7207   2.8990   0.9098   0.9098   1.0794
 -5.6957   2.7536   0.8523   0.8523   1.0490
 -5.6707   2.6420   0.8085   0.8085   1.0249
 -5.6456   2.5564   0.7774   0.7774   1.0015
 -5.6206   2.4899   0.7581   0.7581   0.9737
 -5.5956   2.4374   0.7497   0.7497   0.9381
 -5.5706   2.3965   0.7513   0.7513   0.8939
 -5.5455   2.3664   0.7618   0.7618   0.8429
 -5.5205   2.3470   0.7792   0.7792   0.7887
 -5.4955   2.3361   0.8006   0.8006   0.7348
 -5.4705   2.3288   0.8221   0.8221   0.6846
 -5.4454   2.3174   0.8387   0.8387   0.6401
 -5.4204   2.2934   0.8455   0.8455   0.6024
 -5.3954   2.2507   0.8392   0.8392   0.5723
 -5.3704   2.1882   0.8193   0.8193   0.5497
 -5.3453   2.1102   0.7879   0.7879   0.5345
 -5.3203   2.0251   0.7494   0.7494   0.5264
 -5.2953   1.9415   0.7083   0.7083   0.5249
 -5.2703   1.8664   0.6685   0.6685   0.5293
 -5.2452   1.8030   0.6323   0.6323   0.5383
 -5.2202   1.7508   0.6004   0.6004   0.5499
 -5.1952   1.7058   0.5722   0.5722   0.5613
 -5.1702   1.6615   0.5462   0.5462   0.5691
 -5.1451   1.6106   0.5204   0.5204   0.5699
 -5.1201   1.5474   0.4932   0.4932   0.5611
 -5.0951   1.4698   0.4639   0.4639   0.5420
 -5.0701   1.3797   0.4328   0.4328   0.5140
 -5.0450   1.2818   0.4009   0.4009   0.4800
 -5.0200   1.1820   0.3695   0.3695   0.4430
 -4.9950   1.0853   0.3397   0.3397   0.4059
 -4.9700   0.9948   0.3121   0.3121   0.3706
 -4.9449   0.9126   0.2872   0.2872   0.3382
 -4.9199   0.8392   0.2651   0.2651   0.3091
 -4.8949   0.7744   0.2455   0.2455   0.2834
 -4.8699   0.7176   0.2283   0.2283   0.2610
 -4.8448   0.6680   0.2133   0.2133   0.2414
 -4.8198   0.6247   0.2001   0.2001   0.2245
 -4.7948   0.5870   0.1886   0.1886   0.2098
 -4.7698   0.5543   0.1786   0.1786   0.1971
 -4.7447   0.5258   0.1698   0.1698   0.1861
 -4.7197   0.5011   0.1622   0.1622   0.1766
 -4.6947   0.4797   0.1556   0.1556   0.1685
 -4.6697   0.4613   0.1499   0.1499   0.1615
 -4.6446   0.4457   0.1450   0.1450   0.1556
 -4.6196   0.4325   0.1409   0.1409   0.1507
 -4.5946   0.4216   0.1375   0.1375   0.1466
 -4.5696   0.4128   0.1347   0.1347   0.1434
 -4.5445   0.4062   0.1326   0.1326   0.1410
 -4.5195   0.4015   0.1311   0.1311   0.1393
 -4.4945   0.3989   0.1302   0.1302   0.1385
 -4.4695   0.3983   0.1299   0.1299   0.1384
 -4.4444   0.3997   0.1303   0.1303   0.1391
