#      r                          R(r)
1.428778572300026873e-06 0.000000000000000000e+00
1.481696297200027837e-06 0.000000000000000000e+00
1.481696297200027837e-06 0.000000000000000000e+00
1.534614022100029013e-06 0.000000000000000000e+00
1.587531747000029977e-06 0.000000000000000000e+00
1.640449471900030941e-06 0.000000000000000000e+00
1.640449471900030941e-06 0.000000000000000000e+00
1.693367196800031693e-06 0.000000000000000000e+00
1.746284921700032868e-06 0.000000000000000000e+00
1.799202646600033832e-06 0.000000000000000000e+00
1.852120371500034796e-06 0.000000000000000000e+00
1.905038096400035760e-06 0.000000000000000000e+00
1.957955821300036724e-06 0.000000000000000000e+00
1.957955821300036724e-06 0.000000000000000000e+00
2.010873546200037900e-06 0.000000000000000000e+00
2.063791271100038652e-06 0.000000000000000000e+00
2.116708996000039828e-06 0.000000000000000000e+00
2.169626720900040580e-06 0.000000000000000000e+00
2.275462170700042931e-06 0.000000000000000000e+00
2.328379895600044107e-06 0.000000000000000000e+00
2.381297620500044859e-06 0.000000000000000000e+00
2.434215345400045611e-06 0.000000000000000000e+00
2.487133070300046787e-06 0.000000000000000000e+00
2.540050795200047539e-06 0.000000000000000000e+00
2.592968520100048715e-06 0.000000000000000000e+00
2.698803969900051066e-06 0.000000000000000000e+00
2.751721694800051818e-06 0.000000000000000000e+00
2.804639419700052994e-06 0.000000000000000000e+00
2.910474869500054498e-06 0.000000000000000000e+00
2.963392594400055674e-06 0.000000000000000000e+00
3.069228044200058025e-06 0.000000000000000000e+00
3.122145769100058778e-06 0.000000000000000000e+00
3.227981218900060705e-06 0.000000000000000000e+00
3.280898943800061881e-06 0.000000000000000000e+00
3.386734393600063385e-06 0.000000000000000000e+00
3.439652118500064561e-06 0.000000000000000000e+00
3.545487568300066913e-06 0.000000000000000000e+00
3.651323018100068840e-06 0.000000000000000000e+00
3.704240743000069593e-06 0.000000000000000000e+00
3.810076192800071520e-06 0.000000000000000000e+00
3.915911642600073448e-06 0.000000000000000000e+00
4.021747092400075800e-06 0.000000000000000000e+00
4.127582542200077304e-06 0.000000000000000000e+00
4.233417992000079655e-06 0.000000000000000000e+00
4.339253441800081160e-06 0.000000000000000000e+00
4.445088891600083511e-06 0.000000000000000000e+00
4.550924341400085862e-06 0.000000000000000000e+00
4.656759791200088214e-06 0.000000000000000000e+00
4.815512965900090470e-06 0.000000000000000000e+00
4.921348415700092822e-06 0.000000000000000000e+00
5.027183865500095173e-06 0.000000000000000000e+00
5.185937040200097430e-06 0.000000000000000000e+00
5.291772490000099781e-06 0.000000000000000000e+00
5.450525664700102037e-06 0.000000000000000000e+00
5.556361114500104389e-06 0.000000000000000000e+00
5.715114289200107492e-06 0.000000000000000000e+00
5.873867463900110596e-06 0.000000000000000000e+00
6.032620638600112852e-06 0.000000000000000000e+00
6.138456088400116051e-06 0.000000000000000000e+00
6.297209263100118307e-06 0.000000000000000000e+00
6.455962437800121411e-06 0.000000000000000000e+00
6.614715612500124514e-06 0.000000000000000000e+00
6.826386512100128370e-06 0.000000000000000000e+00
6.985139686800131474e-06 0.000000000000000000e+00
7.143892861500133730e-06 0.000000000000000000e+00
7.355563761100138433e-06 0.000000000000000000e+00
7.514316935800140689e-06 0.000000000000000000e+00
7.725987835400145392e-06 0.000000000000000000e+00
7.937658735000150095e-06 0.000000000000000000e+00
8.096411909700152351e-06 0.000000000000000000e+00
8.308082809300155360e-06 0.000000000000000000e+00
8.519753708900160063e-06 0.000000000000000000e+00
8.731424608500164766e-06 0.000000000000000000e+00
8.996013233000168526e-06 0.000000000000000000e+00
9.207684132600173229e-06 0.000000000000000000e+00
9.419355032200176238e-06 0.000000000000000000e+00
9.683943656700183387e-06 0.000000000000000000e+00
9.895614556300186396e-06 0.000000000000000000e+00
1.016020318080019016e-05 0.000000000000000000e+00
1.042479180530019731e-05 0.000000000000000000e+00
1.068938042980020107e-05 0.000000000000000000e+00
1.095396905430020483e-05 0.000000000000000000e+00
1.121855767880021198e-05 0.000000000000000000e+00
1.153606402820021818e-05 0.000000000000000000e+00
1.180065265270022194e-05 0.000000000000000000e+00
1.211815900210022815e-05 0.000000000000000000e+00
1.243566535150023266e-05 0.000000000000000000e+00
1.275317170090023887e-05 0.000000000000000000e+00
1.307067805030024677e-05 0.000000000000000000e+00
1.338818439970025129e-05 0.000000000000000000e+00
1.375860847400025824e-05 0.000000000000000000e+00
1.407611482340026445e-05 0.000000000000000000e+00
1.444653889770027141e-05 0.000000000000000000e+00
1.481696297200027837e-05 0.000000000000000000e+00
1.518738704630028533e-05 0.000000000000000000e+00
1.555781112060029229e-05 0.000000000000000000e+00
1.598115291980029831e-05 0.000000000000000000e+00
1.635157699410030865e-05 0.000000000000000000e+00
1.677491879330031467e-05 0.000000000000000000e+00
1.719826059250032069e-05 0.000000000000000000e+00
1.767452011660033254e-05 0.000000000000000000e+00
1.809786191580033856e-05 0.000000000000000000e+00
1.857412143990035041e-05 0.000000000000000000e+00
1.905038096400035887e-05 0.000000000000000000e+00
1.952664048810036734e-05 0.000000000000000000e+00
2.000290001220037580e-05 0.000000000000000000e+00
2.053207726120038671e-05 0.000000000000000000e+00
2.100833678530039517e-05 0.000000000000000000e+00
2.153751403430040608e-05 0.000000000000000000e+00
2.211960900820041605e-05 0.000000000000000000e+00
2.264878625720042357e-05 0.000000000000000000e+00
2.323088123110043693e-05 0.000000000000000000e+00
2.381297620500045028e-05 0.000000000000000000e+00
2.444798890380045931e-05 0.000000000000000000e+00
2.508300160260047172e-05 0.000000000000000000e+00
2.571801430140048414e-05 0.000000000000000000e+00
2.635302700020049317e-05 0.000000000000000000e+00
2.698803969900050897e-05 0.000000000000000000e+00
2.767597012270052044e-05 0.000000000000000000e+00
2.841681827130053436e-05 0.000000000000000000e+00
2.910474869500054922e-05 0.000000000000000000e+00
2.984559684360056314e-05 0.000000000000000000e+00
3.058644499220057367e-05 0.000000000000000000e+00
3.138021086570058664e-05 0.000000000000000000e+00
3.217397673920060640e-05 0.000000000000000000e+00
3.302066033760061843e-05 0.000000000000000000e+00
3.381442621110063141e-05 0.000000000000000000e+00
3.471402753440064928e-05 0.000000000000000000e+00
3.556071113280066809e-05 0.000000000000000000e+00
3.646031245610068596e-05 0.000000000000000000e+00
3.741283150430070288e-05 0.000000000000000000e+00
3.836535055250071981e-05 0.000000000000000000e+00
3.931786960070074352e-05 0.000000000000000000e+00
4.032330637380075272e-05 0.000000000000000000e+00
4.132874314690077549e-05 0.000000000000000000e+00
4.238709764490079731e-05 0.000000000000000000e+00
4.344545214290081913e-05 0.000000000000000000e+00
4.455672436580084000e-05 0.000000000000000000e+00
4.566799658870085410e-05 0.000000000000000000e+00
4.683218653650088082e-05 0.000000000000000000e+00
4.799637648430090075e-05 0.000000000000000000e+00
4.921348415700092652e-05 0.000000000000000000e+00
5.048350955460095135e-05 0.000000000000000000e+00
5.175353495220097618e-05 0.000000000000000000e+00
5.307647807470100007e-05 0.000000000000000000e+00
5.439942119720102395e-05 0.000000000000000000e+00
5.577528204460104690e-05 0.000000000000000000e+00
5.720406061690107568e-05 0.000000000000000000e+00
5.868575691410110351e-05 0.000000000000000000e+00
6.016745321130113135e-05 0.000000000000000000e+00
6.164914950850115241e-05 0.000000000000000000e+00
6.323668125550119192e-05 0.000000000000000000e+00
6.482421300250121787e-05 0.000000000000000000e+00
6.646466247440124288e-05 0.000000000000000000e+00
6.815802967120128050e-05 0.000000000000000000e+00
6.990431459290131718e-05 0.000000000000000000e+00
7.165059951460135386e-05 0.000000000000000000e+00
7.344980216120138960e-05 0.000000000000000000e+00
7.535484025760140990e-05 0.000000000000000000e+00
7.725987835400145731e-05 0.000000000000000000e+00
7.921783417530149022e-05 0.000000000000000000e+00
8.117578999660152313e-05 0.000000000000000000e+00
8.323958126770156772e-05 0.000000000000000000e+00
8.535629026370159780e-05 0.000000000000000000e+00
8.752591698460165405e-05 0.000000000000000000e+00
8.974846143040169581e-05 0.000000000000000000e+00
9.202392360110173662e-05 0.000000000000000000e+00
9.435230349670177649e-05 0.000000000000000000e+00
9.673360111720181542e-05 0.000000000000000000e+00
9.916781646260186696e-05 0.000000000000000000e+00
1.017078672578019166e-04 0.000000000000000000e+00
1.042479180530019527e-04 0.000000000000000000e+00
1.068938042980020141e-04 0.000000000000000000e+00
1.095926082679020609e-04 0.000000000000000000e+00
1.123972476876021194e-04 0.000000000000000000e+00
1.152548048322021769e-04 0.000000000000000000e+00
1.181652797017022200e-04 0.000000000000000000e+00
1.211286722961022757e-04 0.000000000000000000e+00
1.241979003403023295e-04 0.000000000000000000e+00
1.273729638343023814e-04 0.000000000000000000e+00
1.306009450532024459e-04 0.000000000000000000e+00
1.338818439970025230e-04 0.000000000000000000e+00
1.372685783906025983e-04 0.000000000000000000e+00
1.407611482340026445e-04 0.000000000000000000e+00
1.443066358023027305e-04 0.000000000000000000e+00
1.479579588204027875e-04 0.000000000000000000e+00
1.517151172883028426e-04 0.000000000000000000e+00
1.555781112060029229e-04 0.000000000000000000e+00
1.594940228486030158e-04 0.000000000000000000e+00
1.635157699410030527e-04 0.000000000000000000e+00
1.676962702081031544e-04 0.000000000000000000e+00
1.719296882001032146e-04 0.000000000000000000e+00
1.762689416419033271e-04 0.000000000000000000e+00
1.807669482584033961e-04 0.000000000000000000e+00
1.853178725998034777e-04 0.000000000000000000e+00
1.900275501159035701e-04 0.000000000000000000e+00
1.948430630818036606e-04 0.000000000000000000e+00
1.997644114975037763e-04 0.000000000000000000e+00
2.047915953630038359e-04 0.000000000000000000e+00
2.099775324032039604e-04 6.546762561455348817e-04
2.153222226181040685e-04 6.384259976371301068e-04
2.207727482828041477e-04 6.226642819715922208e-04
2.263820271222042647e-04 6.072359477291919142e-04
2.320971414114043527e-04 5.922834893719751068e-04
2.379710088753044786e-04 5.776640836970164169e-04
2.440036295139045880e-04 5.633822130525879086e-04
2.501420856023047227e-04 5.495568826709292757e-04
2.564922125903048265e-04 5.359511830793238420e-04
2.630010927530049953e-04 5.226872000775618097e-04
2.696687260904050663e-04 5.097636154602595707e-04
2.764951126025052023e-04 9.943561279944432285e-04
2.834802522893052948e-04 9.698545396249703878e-04
2.906770628757054378e-04 9.458421206573759243e-04
2.980326266368056457e-04 9.224983609323446701e-04
3.055469435726057559e-04 8.998113558661179675e-04
3.132729314080058623e-04 8.776200622923929946e-04
3.212105901430060192e-04 8.559325813461229372e-04
3.293599197776061723e-04 1.252131451342617221e-03
3.377209203118063758e-04 1.221132270942721374e-03
3.462406740207065359e-04 1.191084541212967911e-03
3.550250163541066777e-04 1.161613676130041637e-03
3.640210295871068157e-04 1.132906840115779825e-03
3.732287137197070042e-04 1.473276837876355029e-03
3.826480687519071889e-04 1.437010308054478261e-03
3.923320124086074096e-04 1.444674917633983298e-03
4.022805446898076120e-04 1.408947624222356117e-03
4.124936655955077961e-04 1.699295111805298499e-03
4.229184574008079765e-04 1.657408082647935776e-03
4.336078378306081386e-04 1.616549352760837579e-03
4.446147246098083763e-04 1.880686635922454572e-03
4.558332822886085561e-04 1.834400872419371257e-03
4.673693463168088116e-04 1.789122408856483586e-03
4.792229166944090343e-04 2.028368427741652873e-03
4.913410756965092387e-04 1.978341893551794402e-03
5.037767410480094646e-04 2.250172235155116236e-03
5.165299127489097119e-04 2.194615272889735135e-03
5.296535085241100204e-04 2.392858552853824664e-03
5.430416929238102023e-04 2.333864866060605774e-03
5.568003013978105537e-04 2.517773312397320312e-03
5.708764162212107097e-04 2.455692509551780315e-03
5.853229551189110353e-04 2.677783970432413233e-03
6.001399180909113137e-04 2.833300371926202044e-03
6.153273051372116532e-04 2.763369411594001832e-03
6.309380339827118768e-04 2.906850596263230082e-03
6.469191869025121616e-04 3.093978677103716678e-03
6.632707638966125075e-04 3.217489102070396432e-03
6.800456826899127375e-04 3.333847899568392458e-03
